2026-06-24 07:03:32 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-24T07:03:32.246392", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-27 09:15:50 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-27T09:15:50.476181", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-27 09:16:07 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-27T09:16:07.148719", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-27 09:16:12 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-27T09:16:12.269486", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-27 09:16:17 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-27T09:16:17.509280", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-27 09:16:23 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-27T09:16:23.271974", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-27 09:16:36 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-27T09:16:36.216228", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-27 09:16:43 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-27T09:16:43.397665", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-27 09:16:47 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-27T09:16:47.095230", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-27 09:17:00 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-27T09:17:00.870331", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-27 14:32:33 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-27T14:32:33.777018", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-27 14:34:59 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-27T14:34:59.008134", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-27 14:39:23 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-27T14:39:23.935484", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-27 14:39:31 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-27T14:39:31.939629", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-27 14:39:45 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-27T14:39:45.320603", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-27 14:40:02 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-27T14:40:02.788445", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-27 14:40:07 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-27T14:40:07.355015", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-27 14:40:15 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-27T14:40:15.568306", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-27 14:40:32 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-27T14:40:32.842971", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-27 14:41:44 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-27T14:41:44.911917", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-27 14:41:58 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-27T14:41:58.401441", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-27 14:42:03 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-27T14:42:03.997897", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-27 14:42:22 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-27T14:42:22.293125", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-27 14:42:30 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-27T14:42:30.850840", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-27 14:42:49 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-27T14:42:49.149180", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-27 14:43:40 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-27T14:43:40.042469", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-27 22:20:51 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-27T22:20:51.682862", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-29 17:40:29 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-29T17:40:29.824594", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-29 17:40:43 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-29T17:40:43.754145", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-29 17:41:11 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-29T17:41:11.563852", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-29 17:41:36 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-29T17:41:36.224122", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-29 17:42:15 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-29T17:42:15.948816", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-29 17:42:28 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-29T17:42:28.690591", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-29 17:42:41 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-29T17:42:41.772277", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-29 17:43:09 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-29T17:43:09.201615", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-29 17:43:16 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-29T17:43:16.458153", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-29 17:43:22 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-29T17:43:22.112616", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-29 17:43:43 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-29T17:43:43.638095", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-29 17:45:30 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-29T17:45:30.805958", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-29 17:47:37 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-29T17:47:37.231260", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-29 17:47:43 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-29T17:47:43.792492", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-29 17:47:51 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-29T17:47:51.362308", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-29 17:48:06 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-29T17:48:06.483885", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-29 17:48:13 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-29T17:48:13.532453", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-29 17:48:59 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-29T17:48:59.637806", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
2026-06-29 17:50:01 | INFO | AI API Call [SUCCESS] | Function: application_startup | Model: system | Duration: 0.000s | Data: {"function": "application_startup", "model": "system", "duration_seconds": 0, "success": true, "timestamp": "2026-06-29T17:50:01.936468", "app_name": "AI-Assisted Regulatory Submission Builder", "app_version": "1.0.0", "upload_dir": "./uploads", "templates_dir": "./templates/imdrf"}
